frei	adj:free
gratis	adv:free
umsonst	adv:free of charge
raven	v:to rave
april	n:April
september	n:September
november	n:November
synonym	n:synonym|adj:synonymous
trade	v:singular imperative
fabian	n:a male given name
a-	?:a-
ab	adj:off
abdominal	adj:abdominal
abnormal	adj:abnormal
abrupt	adj:abrupt
nu	n:only used in im Nu|?:yes
y	?:the letter y
absent	adj:absent
abstinent	n:abstinent|adj:abstinent
plural	n:plural|adj:pluralistic
haus	n:house
dat	?:it
die	?:that
in	adj:in|prep:[with dative] in
google	n:Google|v:singular imperative
orange	n:orange|adj:orange
planet	n:planet
german	n:germane
pm	n:man-month
fbi	n:FBI
japan	n:Japan
pseudo-	?:pseudo-
dezember	n:December
man	adv:just|?:one
dick	adj:thick
btw	n:German federal election
bot	n:bot
esperanto	n:Esperanto
feist	adj:fat
flute	v:singular imperative
hell	adj:clear
ram	n:RAM
nato	n:NATO
war	v:was
eu	n:European Union
led	n:LED
dvd	n:DVD
eurovision	n:Eurovision
israel	n:Israel
malaysia	n:Malaysia
wage	v:singular imperative
urban	adj:urban
aborigine	n:an Aboriginal Australian
uhr	n:hours
aa	n:Alcoholics Anonymous
wall	n:rampart
global	adj:global
last	n:load
also	adv:then|?:so
mobile	n:mobile
sms	n:SMS
digital	adj:digital
um	adj:up|adv:around|prep:about
andorra	n:Andorra
afghanistan	n:Afghanistan
angola	n:Angola
bahrain	n:Bahrain (an archipelago
burundi	n:Burundi
bahamas	n:Bahamas
bhutan	n:Bhutan
botswana	n:Botswana
chile	n:Chile
china	n:China
pseudonym	n:pseudonym|adj:pseudonymous|adv:pseudonymously
ecuador	n:Ecuador
ghana	n:Ghana
gambia	n:Gambia
guatemala	n:Guatemala
guyana	n:Guyana
honduras	n:Honduras
haiti	n:Haiti
iran	n:Iran
kuwait	n:Kuwait
laos	n:Laos
liberia	n:Liberia
monaco	n:Monaco
mali	n:Mali
malta	n:Malta
mauritius	n:Mauritius
malawi	n:Malawi
namibia	n:Namibia
niger	n:Niger
nigeria	n:Nigeria
nicaragua	n:Nicaragua
nepal	n:Nepal
nauru	n:Nauru
oman	n:Oman
panama	n:Panama
peru	n:Peru
pakistan	n:Pakistan
portugal	n:Portugal
paraguay	n:Paraguay
sudan	n:Sudan
senegal	n:Senegal
togo	n:Togo
thailand	n:Thailand
tonga	n:Tonga
uganda	n:Uganda
uruguay	n:Uruguay
absurd	adj:absurd
ufo	n:UFO
barbados	n:Barbados
benin	n:Benin
brunei	n:Brunei
belarus	n:Belarus
vanuatu	n:Vanuatu
tuvalu	n:Tuvalu
turkmenistan	n:Turkmenistan
wales	n:Wales
suriname	n:Suriname
somalia	n:Somalia
martinique	n:Martinique (an island
lesotho	n:Lesotho
jupiter	n:Jupiter
dominica	n:Dominica
eritrea	n:Eritrea
georgia	n:Georgia
guadeloupe	n:Guadeloupe
guinea	n:Guinea
guinea-bissau	n:Guinea-Bissau
myanmar	n:Myanmar
svalbard	n:Svalbard (an archipelago
stand	n:standing
grenada	n:Grenada
dna	n:DNA
after	n:anus|prep:after
plant	v:plural imperative
donner	n:thunder|v:singular imperative
england	n:England
mental	adj:mental
japanese	n:synonym of Japaner
beige	n:stack|v:singular imperative|adj:beige
chinese	n:A Chinese person
throne	v:singular imperative
dual	n:dual|adj:dual
parallel	adj:parallel
polygonal	adj:polygonal
rational	adj:rational
irrational	adj:irrational
tick	n:tic
at	n:at
an	adj:on|adv:onward|prep:on
fall	n:fall
samstag	n:Saturday
her	adv:hither
qua	prep:by
quebec	n:Quebec
all	n:cosmos|?:all
angle	v:singular imperative
arm	n:an arm|adj:poor
boom	n:boom
was	adv:why|?:what
nicht	adv:not|?:right?
warm	adj:warm
cool	adj:cool
quake	v:singular imperative
not	n:need|adv:only used in nottun
male	v:singular imperative
hole	v:singular imperative
anterior	adj:anterior
afrikaans	n:Afrikaans|adj:Afrikaans
finale	n:final
