'aeneid'	?:'Aeneis'
'amok'	?:'Der Amokläufer'
'betrayal'	?:'Betrogen'
'bluebeard'	?:'Blaubart'
'breakers'	?:'Brandung'
'carmen'	?:'Carmen'
'cinderella'	?:'Aschenbrödel'
'coriolanus'	?:'Coriolanus'
'couples'	?:'Ehepaare'
'cymbeline'	?:'Cymbeline'
'eliljah'	?:'Elias'
'everyman'	?:'Jedermann'
'ghosts'	?:'Gespenster'
'ivanhoe'	?:'Ivanhoe'
'jamila'	?:'Djamila'
'leonora-overture'	?:'Leonoren-Ouverture'
'macbeth'	?:'Macbeth'
'muscovite'	?:'Katzensilber'
'nightwood'	?:'Nachtgewächs'
'nocturnes'	?:'Nachtstücke'
'orpheus'	?:'Orfeo'
'passers-by'	?:'Die Vorüberlaufenden'
'pastoral'	?:'Pastorale'
'petrushka'	?:'Petruschka'
'rhinegold'	?:'Das Rheingold'
'rigoletto'	?:'Rigoletto'
'rosalinda'	?:'Die Fledermaus'
'tain't	?:es is nich
'til	?:bis
'troades'	?:'Die Troerinnen'
'tween	?:zwischen
-2-methyloxirane	?:-2-Methyloxiran
-bodied	?:…gebaut
-character	?:…stellig
-digit	?:…stellig
-figure	?:…stellig
-goer	?:Besucher
-ing	?:wobei
-oriented	?:…orientiert
-selling	?:… verkäuflich
-to-be	?:später
1-bromo-3-chloropropane	?:1-Brom-3-chlorpropan
1-docosanol	?:1-Docosanol
1-ethoxyethylacetate	?:1-Ethoxyethylacetat
1-methylcyclopropene	?:1-Methylcyclopropen
1-methylpyrrolidine	?:1-Methylpyrrolidin
1-naphthylacetamide	?:1-Naphthylacetamid
1-naphthylamine	?:1-Naphthylamin
1-nitropropane	?:1-Nitropropan
1-pentanol	?:1-Pentanol
1-phenyl-2-propanone	?:Benzylmenthylketon
1-pyrrolidineethanol	?:1-Pyrrolidinethanol
101	?:Grundlagen
10th	?:zehnte
12pm	?:12 Uhr
1st	?:1.
2-amino-6-chloropurine	?:2-Amino-6-chlorpurin
2-butoxyethanol	?:Ethylenglycolmonobutylether
2-chloroacetamide	?:2-Chloracetamid
2-chlorobenzylamine	?:2-Chlorbenzylamin
2-chlorophenothiazine	?:2-Chlorphenothiazin
2-chloropyridine	?:2-Chlorpyridin
2-ethoxyethanol	?:Ethylenglycolmonobutylether
2-ethylanthraquinone	?:2-Ethylanthrachinon
2-methoxyaniline	?:2-Methoxyanilin
2-methoxypropanol	?:2-Methoxy-1-propanol
2-methyl-phenol	?:2-Methylphenol
2-methylanthraquinone	?:2-Methylanthrachinon
2-methylbutane	?:2-Methylbutan
2-methylheptane	?:2-Methylheptan
2-methylhexane	?:2-Methylhexan
2-methylpentane	?:2-Methylpentan
2-methylpropan-1-ol	?:2-Methyl-1-propanol
2-methylpropanoate	?:2-Methylpropanoat
2-methylquinoline	?:2-Methylchinolin
2-naphthylamine	?:2-Naphthylamin
2-nitroaniline	?:2-Nitroanilin
2-nitrobenzamide	?:2-Nitrobenzamid
2-nitrodiphenylamine	?:2-Nitrodiphenylamin
2-nitronaphthalene	?:2-Nitronaphthalin
2-nitropropane	?:2-Nitropropan
2-nitrotoluene	?:2-Nitrotoluol
2-octyl-1-decanol	?:2-Octyl-1-decanol
2-phenylpropanal	?:Hydratropaldehyd
2-phenylpropionaldehyde	?:Hydratropaldehyd
2-propanol	?:2-Propanol
2-thienylacetonitrile	?:2-Thienylacetonitril
21st	?:einundzwanzigste
2nd	?:2.
3'-chloropropiophenone	?:3'-Chlorpropiophenon
3-chloropropene	?:3-Chlorpropen
3-ethylhexane	?:3-Ethylhexan
3-ethylpentane	?:3-Ethylpentan
3-methyl-phenol	?:3-Methylphenol
3-methylbutan-l-ol	?:3-Methylbutan-1-ol
3-methylbutanone	?:3-Methylbutanon
3-methylcholanthrene	?:3-Methylcholanthren
3-methylfentanyl	?:3-Methylfentanyl
3-methylheptan	?:3-Methylheptan
3-methylhexan	?:3-Methylhexan
3-methylpentan	?:3-Methylpentan
3-nitro-4-pyridone	?:3-Nitro-4-pyridon
3-nitro-p-cresol	?:3-Nitro-p-kresol
3-nitro-p-toluidine	?:3-Nitro-p-toluidin
3-nitrobenzamide	?:3-Nitrobenzamid
3-phased	?:Drehstrom …
3-pyridinecarboxamide	?:3-Pyridincarboxamid
3rd	?:3.
3α-androstenol	?:Alpha-Androstenol
4'-methylacetophenone	?:4'-Methylacetophenon
4-acetylpyridine	?:4-Acetylpyridin
4-aminoazobenzene	?:Anilingelb
4-chloraniline	?:4-Chloranilin
4-chloro-o-toluidine	?:4-Chlor-o-Toluidin
4-chlorophenol	?:4-Chlorphenol
4-methyl-phenol	?:4-Methylphenol
4-methylbenzamide	?:4-Methylbenzamid
4-methylbenzophenone	?:4-Methylbenzophenon
4-methylephedrone	?:Mephedron
4-methylheptane	?:4-Methylheptan
4-methylimidazole	?:4-Methylimidazol
4-methylmethcathinone	?:Mephedron
4-methylpentan-2-one	?:4-Methylpentan-2-on
4-methylpentanoate	?:4-Methylpentanoat
4-methylpyridine	?:4-Methylpyridin
4-methylthiobenzaldehyde	?:4-Methylthiobenzaldehyd
4-methylvalerophenone	?:4-Methylvalerophenon
4-nitro-o-anisidine	?:4-Nitro-o-anisidin
4-nitrobenzamide	?:4-Nitrobenzamid
4-nitroso-o-cresol	?:4-Nitroso-o-kresol
4-phenoxypyridine	?:4-Phenoxypyridin
4-wheel	?:Allrad…
4x4	?:Allradauto
5'-o-tritylthymidine	?:5'-O-Tritylthymidin
5-chloroindolin-2-one	?:5-Chlorindolin-2-on
5-methylchrysene	?:5-Methylchrysen
5-methylhexan-2-one	?:5-Methylhexan-2-on
5-methyluridine	?:5-Methyluridin
5-nitro-o-toluidine	?:5-Nitro-o-toluidin
5-nitroacenaphthene	?:5-Nitroacenaphthen
5-nitroindole	?:5-Nitroindol
5th	?:fünfte
5α-androst-16-en-3-one	?:Androstenon
5α-androst-16-en-3α-ol	?:Alpha-Androstenol
5α-dihydrotestosterone	?:5α-Dihydrotestosteron
6-chlorohexan-2-one	?:6-Chlorhexan-2-on
6-deoxygalactose	?:Galaktomethylose
6-methoxy-m-toluidine	?:6-Methoxy-m-toluidin
6-methylbenzotriazole	?:6-Methylbenzotriazol
6-methylcoumarin	?:6-Methylcumarin
6-nitro-o-toluidine	?:6-Nitro-o-Toluidin
6-yard-box	?:Torraum
6-yard-line	?:Torraumlinie
7-methylcoumarin	?:7-Methylcumarin
8'-pitch	?:8'-Lage
8-foot-pitch	?:8'-Lage
911	?:911 anrufen
a	?:ein
a-blade	?:Schwenkschild des Radschrappers
a-horizon	?:A-Horizont
a-jour	?:durchbrochen
a-levels	?:Abitur
a-lineation	?:Rillung
a-road	?:Hauptverkehrsstraßen
a-tube	?:Seelenrohr
a-weighted	?:A-bewertet
aachen	?:Aachen
aalenian	?:Aalen
aar	?:Aare
aardvark	?:Erdferkel
aardvarks	?:Erdferkel
aargau	?:Aargau
abaca	?:Faserbanane
abachi	?:Samba
aback	?:zurück
abacterial	?:bakterienlos
abaculus	?:Tessera
abacus	?:Deckplatte
abacá	?:Abacá
abaft	?:achtern
abalones	?:Seeohren
abandon	?:Hingabe
abandoned	?:verlassen
abandonee	?:insurer to whom
abandoner	?:Abandonist
abandoners	?:Abandonisten
abandoning	?:abandonnierend
abandonment	?:Abbruch
abandons	?:verlässt
abandonware	?:nicht mehr vertriebene Software
abapical	?:von der Spitze weggerichtet
abasement	?:Verfall
abaser	?:Erniedriger
abash	?:verlegen machen
abashed	?:verlegen
abashedly	?:beschämend
abashes	?:macht verlegen
abashing	?:beschämend
abashment	?:Verlegenheit
abat-jour	?:Oberlicht
abat-voix	?:Kanzelhaube
abatable	?:zu beseitigen
abate	?:sich legen
abated	?:ließ nach
abatement	?:Einstellung
abater	?:Verminderer
abates	?:lässt nach
abating	?:sich legend
abatis	?:Baumverhau
abaton	?:Allerheiligstes
abattoir	?:Schlachthof
abattoirs	?:Schlachthöfe
abaxial	?:achsfern
abb	?:Kettgarn
abbacy	?:Amt eines Abtes
abbasids	?:Abbasiden
abbatial	?:abteilich
abbe	?:Abbe
abbess	?:Äbtissin
abbesses	?:Äbtissinnen
abbey	?:Abtei
abbeys	?:Abteien
abbot	?:Abt
abbots	?:Äbte
abbreviate	?:kürzen
abbreviated	?:verkürzt
abbreviates	?:verkürzt
abbreviating	?:kürzend
abbreviation	?:Abkürzung
abbreviations	?:Abkürzungen
abbreviative	?:abbreviativ
abbreviator	?:Abkürzer
abbreviators	?:Abkürzer
abbreviatory	?:abkürzend
abbroachement	?:Aufkaufen
abdicable	?:verzichtbar
abdicate	?:monarch
abdicated	?:aufgegeben
abdicating	?:abdankend
abdication	?:Zurücktreten
abdicator	?:Monarch, der abdankt/auf den Thron verzichtet
abdomen	?:Bauch
abdominal	?:Bauch…
abdominalgia	?:Bauchschmerzen
abdominals	?:Bauchmuskeln
abdominoplasty	?:Bauchmuskelplastik
abduct	?:entführen
abducted	?:entführt
abductee	?:Entführte
abducting	?:entführend
abduction	?:Entführung
abductions	?:Entführungen
abductive	?:abduktiv
abductivism	?:Abduktivismus
abductor	?:Entführer
abductors	?:Entführer
abeam	?:querab
abecedarian	?:I-Männchen
abed	?:im Bette
abelite	?:Abelit
abend	?:anormales Ende
aberdeen	?:Aberdeen
aberrance	?:Abweichung
aberrances	?:Verirrung
aberrancy	?:Abweichung
aberrant	?:abweichend
aberrantly	?:abweichend
aberrate	?:abweichen
aberrated	?:abgewichen
aberrating	?:abweichend
aberration	?:Verwirrung
aberrations	?:falsche Wege
abessive	?:Abessiv
abetment	?:Förderung
abetter	?:Helfer
abetters	?:Helfer
abettor	?:Helfer
abettors	?:Helfer
abeyance	?:ausgesetzt werden
abgesang	?:Abgesang
abhor	?:hassen
abhored	?:hasst
abhorred	?:hasst
abhorrence	?:starke Abneigung
abhorrent	?:abstoßend
abhorrently	?:widerlich
abhorring	?:Verabscheuen
abhors	?:hasst
abidance	?:Wohnsitz
abide	?:bleiben
abided	?:getragen
abider	?:Getreue
abiders	?:Getreuen
abides	?:bleibt
abiding	?:dauernd
abidingly	?:treu
abidjan	?:Abidjan
abietate	?:Abietat
abietin	?:Abietin
abilities	?:Fähigkeiten
ability	?:Möglichkeit
abiocen	?:Abiozön
abiocoen	?:Abiozön
abiogenesis	?:Abiogenese
abiogenetic	?:abiogenetisch
abiological	?:nichtbiologisch
abioseston	?:Abioseston
abiosis	?:Lebensunfähigkeit
abiotic	?:abiotrophisch
