a	?:en
abacus	?:boulier
abandon	?:quitter
abandoned	?:abandonné
abandonment	?:abandon
abase	?:abattre
abasement	?:abaissement
abashment	?:embarras
abate	?:diminuer
abatement	?:réduction
abattoir	?:abattoir
abbatial	?:abbatial
abbess	?:abbesse
abbey	?:abbaye
abbot	?:abbé
abbreviate	?:raccourcir
abbreviation	?:abrévation
abc	?:alphabet
abdicate	?:abdiquer
abdication	?:abdication
abdomen	?:ventre
abdominal	?:abdominal
abductor	?:abducteur
aberrant	?:aberrant
aberration	?:erreur
abet	?:aider
abhor	?:haïr
abhorrence	?:horreur
abhorrent	?:horrible
abide	?:attendre
abiding	?:permanent
ability	?:capacité
abiogenesis	?:abiogenèse
abject	?:pauvre
abjection	?:abjection
abjuration	?:abjuration
abjure	?:retirer
abkhazia	?:Abkhasie
abkhazian	?:Abkhasien
ablative	?:ablatif
ablaze	?:ardant
able	?:capable
abnegate	?:abjurer
abnegation	?:abnégation
abnormal	?:anormal
abode	?:domicile
abolish	?:supprimer
abolition	?:annulation
abolitionist	?:abolitionniste
abominable	?:horrible
abominate	?:haïr
abomination	?:horreur
aboriginal	?:aborigène
abort	?:avorter
abortion	?:échec
abortionist	?:avorteur
abortive	?:inutile
abound	?:abonder
about	?:environ
above	?:sur
abrasive	?:perçant
abridge	?:limiter
abridgement	?:réduction de texte
abroad	?:dehors
abrogate	?:supprimer
abrogation	?:annulation
abrupt	?:soudain
abruptly	?:brusquement
abscess	?:abcès
abscissa	?:abscisse
abscond	?:s'enfuir
abseil	?:descendre en rappel
absence	?:manque
absent	?:absent
absinth	?:absinthe
absolute	?:complet
absolutely	?:en fait
absolution	?:pardon
absolutism	?:absolutisme
absolve	?:absoudre
absorb	?:disposer de
absorbent	?:absorbant
absorbing	?:passionnant
absorption	?:absorption
abstain	?:s'abstenir
abstemious	?:sobre
abstention	?:abstention
abstinence	?:abstention
abstract	?:conclure
abstraction	?:abstraction
abstruse	?:mystérieux
absurd	?:absurde
absurdity	?:absurdité
abundance	?:richesse
abundant	?:abondant
abundantly	?:largement
abuse	?:défaut
abut	?:aboutir
abysmal	?:terrible
abyss	?:gouffre
abyssinia	?:Ethiopie
abyssinian	?:Abyssin
acacia	?:acacia
academic	?:étudiant
academician	?:académicien
academy	?:institut
acanthus	?:acanthe
accede	?:être d'accord
accelerate	?:accélérer
acceleration	?:accélération
accelerative	?:accélérateur
accelerator	?:accélérateur
accent	?:accent
accentuate	?:souligner
accept	?:recevoir
acceptable	?:acceptable
acceptance	?:abord
accepted	?:accepté
acceptor	?:accepteur
access	?:abord
accessible	?:sensible
accession	?:présentation
accessory	?:secondaire
accidence	?:hasard
accident	?:accident
accidental	?:accidentel
acclaim	?:approbation
acclamation	?:acclamation
acclimate	?:s'acclimater
acclimatization	?:acclimatation
acclimatize	?:s'acclimater
acclivity	?:côte
accolade	?:accolade
accommodate	?:aider
accommodating	?:accommodant
accommodation	?:construction
accompaniment	?:accompagnement
accompanist	?:accompagnateur
accompany	?:accompagner
accomplish	?:assurer
accomplished	?:qualifié
accomplishment	?:ouvrage
accord	?:accord
accordance	?:accord
accordingly	?:ensuite
accordion	?:accordéon
accordionist	?:accordéoniste
accost	?:parler à
account	?:compte
accountable	?:responsable
accredit	?:croire
accretion	?:développement
accrue	?:augmenter
accumulate	?:rassembler
accumulation	?:masse
accumulator	?:accumulateur
accuracy	?:exactitude
accurate	?:précis
accusal	?:plainte
accusation	?:plainte
accusative	?:accusatif
accuse	?:livrer
accused	?:accusé
accuser	?:accusateur
accustom	?:avoir l'habitude de
accustomed	?:habituel
ace	?:as
acerbic	?:rude
acerbity	?:acuité
acetate	?:acétate
acetone	?:acétone
acetous	?:acide
acetylene	?:acétylène
ache	?:mal
acheron	?:Achéron
achieve	?:faire
achievement	?:action
achilles	?:Achille
achrostic	?:acrostiche
acid	?:acide
acidify	?:aigrir
acidity	?:acidité
acidness	?:acidité
acknowledge	?:reconnaître
acknowledgement	?:reçu
acme	?:sommet
acne	?:acné
acolyte	?:partisan
aconite	?:aconit
acorn	?:gland
acoustic	?:acoustique
acoustics	?:acoustique
acquaint	?:faire part de
acquaintance	?:abord
acquiesce	?:se résigner
acquiescence	?:abandon
acquire	?:acheter
acquired	?:appris
acquirement	?:acquisition
acquisition	?:achat
acquisitive	?:avide
acquit	?:absoudre
acquittal	?:accomplissement
acre	?:acre
acrid	?:agaçant
acrimonious	?:perçant
acrimony	?:acuité
acrobat	?:acrobate
acrobatic	?:acrobatique
acrobatics	?:acrobaties
across	?:outre
act	?:faire
actinium	?:actinie
action	?:action
activate	?:déterminer
active	?:agissant
activity	?:besoin d'activité
actor	?:acteur
actress	?:actrice
actual	?:réel
actuality	?:réalité
actually	?:en réalité
actuate	?:remuer
acuity	?:attention
acupuncture	?:acupuncture
acute	?:intense
ad	?:annonce
adage	?:proverbe
adagio	?:adagio
adam	?:Adam
adapt	?:adapter
adaptation	?:transformation
adapted	?:adapté
adaptor	?:adapteur
add	?:ajouter
adder	?:couleuvre
addiction	?:manie
addition	?:addition
additional	?:autre
addled	?:stupide
address	?:parler à
addressee	?:destinataire
aden	?:Aden
adept	?:maître
adequate	?:adéquate
adhere	?:correspondre
adherence	?:fidélité
adherent	?:adepte
adherents	?:suite
adhesion	?:adhésion
adhesive	?:colle
adieu	?:adieu
adjacent	?:adjacent
adjectival	?:adjectif
adjective	?:adjectif
adjoin	?:aboutir
adjoining	?:adjacent
adjourn	?:renvoyer
adjournment	?:sursis
adjudication	?:jugement
adjunct	?:supplément
adjust	?:adapter
adjustment	?:construction
adjutant	?:adjudant
administer	?:administrer
administration	?:gouvernement
administrative	?:administratif
administrator	?:administrateur
admirable	?:admirable
admiral	?:amiral
admiration	?:admiration
admire	?:admirer
admirer	?:admirateur
admiring	?:admiratif
admission	?:entrée
admit	?:permettre
admittance	?:abord
admixture	?:mélange
admonish	?:sommer
admonition	?:observation
adolescence	?:adolescence
adolescent	?:adolescent
adonis	?:Adonis
adopt	?:adopter
adopted	?:adoptif
adoption	?:adoption
adoptive	?:adoptif
adorable	?:adorable
adoration	?:adoration
adore	?:adorer
adorer	?:adorateur
adorn	?:décorer
adornment	?:ornement
adrenaline	?:adrénaline
adrianople	?:Andrinople
adriatic	?:mer Adriatique
adroit	?:actif
adult	?:fait
adulterate	?:étendre
adulterer	?:adultère
adulteress	?:adultère
adulterous	?:adultère
adultery	?:adultère
advance	?:avancer
advancement	?:progrès
advantage	?:intérêt
advantageous	?:utile
advent	?:avent
adventitious	?:secondaire
adventure	?:aventure
