a	?:een
able	?:in staat om
about	?:over
across	?:over
always	?:steeds
american	?:Amerikaans
believe	?:houden voor
british	?:Brits
group	?:hoop
grouser	?:kniesoor
grow	?:worden
growl	?:mopperen
growth	?:ontwikkeling
grub	?:winnen
grudge	?:wrok
gruel	?:pap
gruesome	?:eng
gruff	?:zuur
grumble	?:mopperen
grumbler	?:kniesoor
guarantee	?:garanderen
guard	?:wacht
guess	?:stellen
guesswork	?:gissing
guest	?:gast
guide	?:brengen
guidebook	?:leidraad
guilder	?:gulden
guile	?:boosaardigheid
guileless	?:argeloos
guilt	?:schuld
guiltless	?:onschuldig
guilty	?:schuldig
guitar	?:gitaar
gulden	?:gulden
gulf	?:golf
gully	?:bergkloof
gum	?:tandvlees
gun	?:roer
gunner	?:artillerist
gunpowder	?:buskruit
gunsight	?:vizier
gurgle	?:kabbelen
gush	?:stuiven
gusto	?:drukte
guy	?:persoon
gymnastics	?:gymnastiek
gypsy	?:zigeuner
gyroscope	?:gyroscoop
habit	?:gebruik
habitation	?:bewoning
hack	?:hakken
hackneyed	?:afgezaagd
haddock	?:schelvis
haemorhoids	?:aambeien
haemorrhoid	?:aambei
hafnium	?:hafnium
haggle	?:afdingen
hahnium	?:hahnium
hail	?:hagel
hailstone	?:hagelsteen
hair	?:haar
hairdresser	?:kapper
hairpiece	?:pruik
hairs	?:haar
hairy	?:ruig
halberd	?:hellebaard
halcyon	?:ĳsvogel
half	?:half
halibut	?:heilbot
haliotis	?:haliotis
hall	?:hal
halo	?:kring
halt	?:stoppen
halyard	?:hĳskraan
ham	?:ham
hamburger	?:hamburger
hamlet	?:vlek
hammer	?:hamer
hammering	?:gehamer
hammock	?:hangmat
hamper	?:verstoppen
hand	?:hand
handbook	?:gids
handful	?:handvol
handicap	?:belemmering
handicraft	?:beroep
handiwork	?:handwerk
handkerchief	?:zakdoek
handle	?:behandelen
handlebars	?:stuur
handshake	?:hand
handsome	?:net
handy	?:geschikt
hang	?:hangen
hangman	?:beul
happen	?:worden
happiness	?:geluk
happy	?:verheugd
harass	?:bestoken
harbor	?:haven
harbour	?:haven
hard	?:hard
harden	?:stalen
hardly	?:zwaar
hardness	?:hardheid
hardworking	?:werkzaam
hardy	?:aanbeeldbeitel
hare	?:haas
harem	?:harem
haricot	?:boon
harm	?:schade
harmful	?:nadelig
harmonica	?:accordeon
harmonious	?:harmonisch
harmonize	?:harmoniëren
harmony	?:harmonie
harness	?:tuig
harp	?:harp
harpy	?:harpĳ
harrier	?:kiekendief
harrow	?:eggen
harry	?:uitschudden
harsh	?:scherp
harshness	?:hardheid
harvest	?:opbrengst
hash	?:kruis
hashish	?:hasj
haste	?:haast
hastily	?:haastig
hat	?:hoed
hatch	?:schaduwen
hate	?:haat
hated	?:gehaat
haul	?:trekken
haunt	?:vervolgen
have	?:ontvangen
hawk	?:havik
hawkweed	?:havikskruid
hay	?:hooi
haystack	?:opper
hazard	?:risico
hazardous	?:gewaagd
haze	?:het lastig maken
hazel	?:hazelaar
hazelnut	?:hazelnoot
he	?:hem
head	?:hoofd
headache	?:hoofdpĳn
header	?:hoofd
heading	?:kop
headlamp	?:koplamp
headlight	?:koplamp
headmaster	?:hoofd der school
headquarters	?:hoofdkwartier
heal	?:beter maken
health	?:gezondheid
healthy	?:gezond
heap	?:hoop
hear	?:horen
hearing	?:gehoor
hearsay	?:reputatie
heart	?:hart
heartburn	?:zuur
hearth	?:schoorsteen
hearty	?:innig
heat	?:vuur
heater	?:verwarming
heath	?:dopheide
heather	?:heide
heating	?:verwarming
heaven	?:lucht
heavenly	?:hemel‐
heavy	?:zwaar
hectolitre	?:mud
hectometre	?:hectometer
hedge	?:haag
hedonism	?:genotzucht
heel	?:hak
height	?:hoogte
heighten	?:verergeren
heir	?:erfgenaam
helium	?:helium
helix	?:schroef
hell	?:hel
hellebore	?:nieskruid
hello	?:dag
helm	?:stuur
helmet	?:helm
help	?:helpen
helper	?:hulp
helpful	?:behulpzaam
helpfulness	?:hulpvaardigheid
helpless	?:waar niet aan te doen valt
hemisphere	?:halfrond
hemlock	?:dolle kervel
hemorrhoid	?:aambei
hemp	?:hennep
hen	?:kip
hence	?:van hier
hepatica	?:leverbloempje
hepatitis	?:hepatitis
her	?:ze
herald	?:voorbode
heraldry	?:heraldiek
herb	?:kruid
herd	?:hoop
here	?:hier
hereafter	?:hiernamaals
hereditary	?:overerfelĳk
heredity	?:overerfelĳkheid
heresy	?:ketterĳ
heretic	?:ketter
heretical	?:ketters
