's	?:ин
's-hertogenbosch	?:Хертогенбос
'umra	?:у́мра
00s	?:нулевые
0th	?:0-ой
101	?:основы
10th	?:10-ый
11th	?:11-ый
12th	?:12-я
13th	?:13-ый
14th	?:14-ый
15th	?:15-ый
16-cell	?:шестнадцатиячейник
1992	?:1992 г.
1st	?:1-й
20th	?:20-це
2nd	?:2-о́й
3d	?:3D
3rd	?:3-й
4th	?:4-ый
5th	?:5-ый
65537-gon	?:правильный 65537-угольник
6th	?:6-ой
7th	?:7-ой
8-bit	?:восьмиби́тный
8th	?:8-ой
9th	?:9-ый
a	?:эй
a-bomb	?:а́томная бо́мба
a-tilt	?:с копьём [[напереве́с]]
aachen	?:А́хен
aah	?:ах
aalborg	?:О́льборг
aar	?:А́ре
aarau	?:А́арау
aardvark	?:трубкозу́б
aardwolf	?:земляно́й волк
aargau	?:А́аргау
aarhus	?:О́рхус
aaron	?:Аарон
ab	?:пресс
ababil	?:Абабиль
abaca	?:абака́
abacist	?:абакиста
aback	?:наза́д
abacus	?:счёты
abadan	?:Абада́н
abaddon	?:Аваддо́н
abaetetuba	?:Абаэтетуба
abaft	?:позади́
abakan	?:Абака́н
abalienation	?:абалиенация
abalone	?:абало́н
abandon	?:бесшаба́шность
abandoned	?:па́дший
abandonment	?:оставле́ние
abarognosis	?:абарогно́з
abase	?:уни́зить
abasement	?:униже́ние
abash	?:конфу́зить
abashed	?:пристыжённый
abashment	?:замеша́тельство
abasia	?:абази́я
abastumani	?:Абастума́ни
abate	?:спасть
abatement	?:сниже́ние
abatis	?:засе́ка
abattoir	?:бо́йня
abaya	?:аба́йя
abaza	?:абази́нский
abazi	?:аба́з
abbacy	?:абба́тство
abbas	?:Абба́с
abbatial	?:абба́тский
abbay	?:Абба́й
abbess	?:аббатиса
abbeville	?:Аббеви́лль
abbey	?:аббатство
abbot	?:аббат
abbotsford	?:А́бботсфорд
abbott	?:Э́ббот
abbottabad	?:Абботтаба́д
abbreviate	?:сократи́ть
abbreviated	?:сокращённый
abbreviation	?:аббревиа́ция
abc	?:а́збука
abdicate	?:слагать полномочия
abdication	?:отрече́ние
abdomen	?:живот
abdominal	?:брюшно́й
abdominohysterectomy	?:абдоминогистерэктомия
abdominohysterotomy	?:абдоминогистеротомия
abdominoplasty	?:абдо̀минопла́стика
abdominoscopy	?:абдоминоскопия
abdon	?:Авдо́н
abduct	?:похища́ть
abduction	?:похище́ние
abductive	?:отводя́щий
abductor	?:похити́тель
abdul	?:Абду́л
abdulkadir	?:Абдул-Кады́р
abdullah	?:Абдулла́
abdullatif	?:Абделлати́ф
abed	?:в [[постель|посте́ли]]
abednego	?:Авденаго́
abel	?:Авель
abelian	?:а́белев
abelianization	?:абелианизация
abelisaurus	?:абелиза́вр
abelite	?:абели́т
aberdeen	?:Аберди́н
aberrant	?:аберра́нтный
aberration	?:аберрация
aberroscope	?:аберроско́п
abessive	?:абесси́в
abet	?:нау́ськивать
abetalipoproteinemia	?:абеталипопротеинеми́я
abettor	?:подстрека́тель
abeyance	?:приостановле́ние
abgar	?:Абга́р
abha	?:Абха
abhimanyu	?:Абхима́нью
abhor	?:ненави́деть
abhorrence	?:омерзе́ние
abhorrent	?:отвратительный
abide	?:жить
abidjan	?:Абиджа́н
abient	?:абие́нтный
abigail	?:Авиге́я
ability	?:возмо́жность
abimelech	?:Авиме́лех
abinomn	?:абиномн
abiocoen	?:абиоце́н
abiogenesis	?:абиогене́з
abioseston	?:абиосесто́н
abiosis	?:абио́з
abiotrophy	?:абиотрофи́я
abjad	?:а́бджад
abject	?:жа́лкий
abjectly	?:смире́нно
abjuration	?:абъюрация
abjure	?:отка́зываться
abkhaz	?:абха́зский
abkhazia	?:Абхазия
ablactation	?:аблакта́ция
ablation	?:ампута́ция
ablative	?:абляти́вный
ablaut	?:абла́ут
ablaze	?:гореть
able	?:а́емый
ableism	?:эйбли́зм
ablepharia	?:аблефари́я
ablet	?:укле́йка
abloom	?:цвету́щий
ablution	?:омове́ние
ablutomania	?:аблютома́ния
ably	?:иску́сно
abmigration	?:абмигра́ция
abnegate	?:отка́зываться
abnegation	?:самоотрече́ние
abner	?:Авени́р
abnormal	?:ненормальный
abnormality	?:ненорма́льность
abnormally	?:анома́льно
aboard	?:[[на́]] борт
abode	?:усадьба
abolish	?:отменя́ть
abolishment	?:отме́на
abolition	?:отмена
abolitionism	?:аболициони́зм
abolitionist	?:аболиционистский
abomasum	?:сычу́г
abominable	?:га́дкий
abominably	?:отврати́тельно
abominate	?:выносить
abomination	?:га́дость
abonnement	?:абонеме́нт
aboriginal	?:абориге́н
aborigine	?:абориге́н
aborigines	?:абориген
abort	?:прервать
abortifacient	?:абортивный
abortion	?:аборт
abound	?:изоби́ловать
abounding	?:изоби́лующий
about	?:на
about-face	?:круго́м
above	?:над
above-mentioned	?:вышеука́занный
abovedescribed	?:вышеописанный
abovesaid	?:вышеука́занный
abovyan	?:Абовя́н
abqaiq	?:Абка́йк
abracadabra	?:абракада́бра
abrade	?:истере́ть
abraham	?:Ибрагимов
abram	?:Авраа́м
abramoff	?:Абра́мов
abramov	?:Абра́мов
abramsky	?:Абра́мский
abrasion	?:истира́ние
abrasive	?:абразивный
abreast	?:в ряд
abrek	?:абре́к
abridge	?:ограни́чивать
abridged	?:сокращённый
abroad	?:вширь
abrogate	?:аннули́ровать
abrupt	?:внеза́пный
abruptly	?:бесцеремо́нно
abruzzo	?:Абру́ццо
abs	?:пресс
absalom	?:Авессало́м
abscess	?:абсце́сс
abscissa	?:абсци́сса
abscond	?:избегать
abseil	?:спускаться на верёвке
absence	?:отсу́тствие
absent	?:отсу́тствовать
absent-minded	?:рассе́янный
absent-mindedly	?:машина́льно
absent-mindedness	?:рассе́янность
absentee	?:отсу́тствующий
absinthe	?:абсент
absinthian	?:полы́нный
absolute	?:абсолютный
absolutely	?:абсолю́тно
absoluteness	?:абсолю́тность
absolution	?:проще́ние
absolutism	?:абсолютизм
absolutist	?:абсолюти́ст
absolve	?:отпуска́ть
absorb	?:поглоща́ть
absorbable	?:абсорби́руемый
absorbed	?:впи́танный
absorbency	?:поглоти́тельная спосо́бность
