gratis	adj:free|adv:free
pie	n:foot
a	n:bishop
may	n:May
swap	n:swap
deal	n:deal|adj:god
f	?:bad luck
fa	n:alkaline phosphatase|?:ew
a-	?:forms words
abdomen	n:abdomen
abdominal	n:abdominal muscle|adj:abdominal
abductor	n:abductor
abominable	adj:abominable
aboriginal	n:Aborigine
abracadabra	?:abracadabra
quiz	n:quiz show
raptor	n:kidnapper
lente	n:lens
robot	n:robot
y	?:and
absolver	v:to absolve
absorber	v:to use up
accidental	n:accidental|adj:accidental
plural	n:plural|adj:plural
avatar	n:avatar
alien	n:alien
pez	n:fish
libre	n:Liberalismo Renovador|adj:free
de	prep:of
color	n:color / colour
en	prep:in
van	n:van
te	?:to you, for you
can	n:dog
o	n:Name of the letter O|adv:where|?:or
numeral	n:numeral
acid	n:acid|adj:acid
parole	n:parole
kgb	n:KGB
chiapaneco	adj:of
pseudo-	?:pseudo-
bit	n:bit
bce	n:ECB, European Central Bank
ce	n:European Commission
man	n:man
be	n:baa
rape	n:monkfish
amoral	adj:amoral
osteo-	?:osteo-
os	?:you
perro	n:clothes peg|adj:doggy or doggish
bot	n:bot
peso	n:weight
centavo	n:hundredth|adj:hundredth
estar	v:to be
singular	n:singular|adj:singular
gnosis	n:gnosis
reality	n:reality show
tao	n:tau cross|adj:ordinary
andante	n:roamer|adj:walking
stock	n:stock
aria	n:Aryan
ram	n:RAM
bm	n:World Bank
guerra	n:war
dls	n:dollars
dvd	n:DVD
country	n:country music
euro	n:euro
maquiladora	n:assembly plant
viable	adj:viable
israel	n:Jacob
austria	n:Austria
fiscal	n:public prosecutor (UK)|adj:fiscal
open	n:open
am	adv:AM
webmaster	n:webmaster
derecho	n:right|adj:straight|adv:straight
gobierno	n:government
omc	n:WTO, World Trade Organization
meeting	n:meeting
global	adj:global
menos	n:minus sign|adv:less|prep:minus
monetario	adj:currency
acacia	n:acacia
sms	n:SMS
digital	n:foxglove|adj:digital
radio	n:radio
andorra	n:Andorra
armenia	n:Armenia
angola	n:Angola
argentina	n:Argentina
bulgaria	n:Bulgaria
burundi	n:Burundi
bolivia	n:Bolivia
bahamas	n:Bahamas
botswana	n:Botswana
chile	n:Chile
china	n:China
colombia	n:Colombia
cuba	n:Cuba (a country
ecuador	n:Ecuador
ghana	n:Ghana
gambia	n:Gambia
guatemala	n:Guatemala
guyana	n:Guyana
honduras	n:Honduras
indonesia	n:Indonesia
india	n:India
jamaica	n:Jamaica
colon	n:colon
gas	n:gas
kuwait	n:Kuwait
laos	n:Laos
liechtenstein	n:Liechtenstein
liberia	n:Liberia
madagascar	n:Madagascar
mongolia	n:Mongolia
mauritania	n:Mauritania
malta	n:Malta
mozambique	n:Mozambique
namibia	n:Namibia
nigeria	n:Nigeria
nicaragua	n:Nicaragua
méxico	n:Mexico
brasil	n:Brazil
mi	n:mu|?:apocopic form of mío
ami	n:friend
país	n:country
nepal	n:Nepal
nauru	n:Nauru
portugal	n:Portugal
paraguay	n:Paraguay
senegal	n:Senegal
chad	n:Chad
togo	n:Togo|v:only used in me togo
tonga	n:Tonga
tanzania	n:Tanzania
uganda	n:Uganda
uruguay	n:Uruguay
venezuela	n:Venezuela
vietnam	n:Vietnam
yemen	n:Yemen
zambia	n:Zambia
industrial	adj:industrial
paceño	adj:of
software	n:software
offset	n:offset
amigo	n:friend
amar	v:to love
paraguas	n:umbrella
aruba	n:Aruba (an island
barbados	n:Barbados
vanuatu	n:Vanuatu
tuvalu	n:Tuvalu
ace	n:ace
acidosis	n:acidosis
fifa	n:FIFA
poison	n:poison
general	n:general|adj:general
hebrea	n:Hebrew
somalia	n:Somalia
retrovirus	n:retrovirus
gag	n:gag
