woordenboek	n:dictionary
gratis	adj:free
gratuit	adj:gratuitous
word	v:imperative
pond	n:unit of mass
raven	v:to (hold a) rave
dialect	n:dialect
patronage	n:patronage
deal	n:deal
product	n:product
name	n:dative singular of naam
a-	?:a-: not
aam	n:aam
abacus	n:abacus
abattoir	n:abattoir
abject	adj:reprehensible
abrupt	adj:abrupt
quiz	n:quiz
millennium	n:millennium
week	n:week|v:imperative|adj:soft
nu	adv:now|?:now
lente	n:year of age
zomer	n:summer|v:imperative
herfst	n:autumn
winter	n:winter
robot	n:robot
absent	adj:absent
accolade	n:brace
accurate	adj:plural attributive
alien	n:an alien
spring	v:imperative
de	prep:per|?:the
en	adv:not|?:and
het	?:(“the”), the definite article
van	n:any surname|adv:of|prep:of
hoed	n:a hat|v:imperative
te	adv:too|prep:to|?:in idiom
dat	?:that
die	?:that
in	v:imperative|adj:in style|adv:in
een	n:one
hij	?:he
niet	n:staple|v:imperative|adv:not
zijn	v:to be|?:his
google	v:imperative
lens	n:optical lens|adj:empty
wolf	n:wolf
star	adj:stiff
o	n:a surname|?:oh
acid	n:LSD
mexico	n:Mexico
decade	n:a set of ten book volumes
letter	n:letter
japan	n:Japan
beer	n:a bear
pseudo-	n:pseudo-
bit	n:bit
man	n:man
is	v:is, equals|adv:once
are	n:are
doctrine	n:doctrine
port	n:postage|v:plural imperative
os	n:ox
date	n:a date|v:imperative
lol	n:fun|?:LOL
bot	n:bone|adj:not sharp
esperanto	n:Esperanto
libero	n:a libero
ten	?:to the
stock	n:stock
war	n:confusion
eu	n:European Union
euro	n:euro
finland	n:Finland
bank	n:bench
open	v:imperative|adj:open
consensus	n:consensus
fruit	v:imperative
metadata	n:metadata
big	n:piglet
meeting	n:meeting
last	n:load|v:plural imperative
radio	n:radio
barcode	n:barcode
um	?:um
andorra	n:Andorra
afghanistan	n:Afghanistan
angola	n:Angola
bangladesh	n:Bangladesh
burundi	n:Burundi
bolivia	n:Bolivia
bhutan	n:Bhutan
botswana	n:Botswana
canada	n:Canada
china	n:China
colombia	n:Colombia
cuba	n:Cuba (a country
ecuador	n:Ecuador
blood	adj:not courageous
gabon	n:Gabon
ghana	n:Ghana
guatemala	n:Guatemala
guyana	n:Guyana
honduras	n:Honduras
india	n:India
iran	n:Iran
jamaica	n:Jamaica
gas	n:gas|v:imperative
laos	n:Laos
liechtenstein	n:Liechtenstein
liberia	n:Liberia
monaco	n:Monaco
malta	n:Malta
mauritius	n:Mauritius
mozambique	n:Mozambique
niger	n:Niger
nigeria	n:Nigeria
nicaragua	n:Nicaragua
mars	n:march|?:march!
brasil	n:a village in Aruba
mi	n:mi
oman	n:Oman
panama	n:Panama
peru	n:Peru
pakistan	n:Pakistan
portugal	n:Portugal
paraguay	n:Paraguay
qatar	n:Qatar
rwanda	n:Rwanda
thailand	n:Thailand
tonga	n:Tonga
uganda	n:Uganda
uruguay	n:Uruguay
venezuela	n:Venezuela
vietnam	n:Vietnam
zambia	n:Zambia
zimbabwe	n:Zimbabwe
software	n:software
computer	n:computer|v:imperative
absolute	adj:plural attributive
abstract	adj:abstract
absurd	adj:absurd
accent	n:accent
bio	n:biology
smiley	n:smiley
accountant	n:an accountant
aruba	n:Aruba (an island
barbados	n:Barbados
benin	n:Benin
brunei	n:Brunei
belarus	n:Belarus
vanuatu	n:Vanuatu
tuvalu	n:Tuvalu
turkmenistan	n:Turkmenistan
achilles	n:Achilles
shuttle	n:a space shuttle
map	n:folder
index	n:index
wales	n:Wales
suriname	n:Suriname
storm	n:storm|v:imperative
lesotho	n:Lesotho
win	v:imperative
drink	n:a beverage|v:imperative
jupiter	n:Jupiter
eritrea	n:Eritrea
georgia	n:Georgia
guadeloupe	n:Guadeloupe
baby	n:baby
yes	?:yay
stand	n:posture
yeti	n:yeti
radar	n:radar
president	n:president
fuck	v:imperative|?:fuck!
dna	n:deoxyribonucleic acid
close	adj:close
kill	n:guy
drug	n:a recreational drug
here	n:lord
plant	n:plant|v:imperative
stylus	n:stylus
dar	n:drone
beige	adj:beige
green	n:Scots pine
magenta	n:magenta|adj:magenta
pink	n:pinkie
red	v:imperative
violet	n:violet|adj:violet-coloured
grapefruit	n:grapefruit
citrus	n:a citrus
chinese	n:woman from China|adj:plural attributive
tuba	n:tuba
tempo	n:tempo
duel	n:a duel
wrong	n:wreath
wring	v:imperative
worst	n:sausage
dollar	n:dollar
cast	n:cast|v:imperative
router	n:router
keyboard	n:keyboard
weekend	n:weekend
been	n:leg|v:imperative
pip	n:of humans
pit	n:a seed inside a fruit
welsh	n:Welsh|adj:Welsh
imperfect	adj:imperfect
of	?:or
parallel	n:parallel|adj:parallel
pi	n:pi
jack	n:jacket
thee	n:tea
design	n:design
humor	n:humour
tennis	n:tennis|v:imperative
shit	n:stuff|?:shit
